,Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
0,Claudinho (ATA),,17.22,30,7.0,14.2,2.13,44.0,15.0,6.0,,46.0,30.0,21.0,,,,,,4.0,1.0,,26.0,5.0,288.0
1,Vina (MEI),,12.13,26,6.95,7.0,0.47,13.0,12.0,9.0,,23.0,32.0,25.0,1.0,,,,,3.0,1.0,,16.0,5.0,226.0
2,Pepê (ATA),,16.36,26,6.31,15.9,2.23,37.0,9.0,5.0,,54.0,15.0,8.0,1.0,,,,,1.0,,,12.0,4.0,116.0
3,Arrascaeta (MEI),,17.68,22,6.23,4.7,-0.51,36.0,6.0,6.0,,31.0,16.0,17.0,2.0,,,,,,,,15.0,,239.0
4,Luciano (ATA),,9.36,23,6.1,0.0,0.0,26.0,13.0,1.0,,38.0,14.0,6.0,1.0,,,,,4.0,,,28.0,6.0,101.0
5,Gabriel (ATA),,13.92,20,5.93,12.3,-0.36,8.0,10.0,,,23.0,26.0,19.0,1.0,,,,1.0,2.0,,,5.0,13.0,93.0
6,Calegari (LAT),,7.38,17,5.68,11.1,0.98,63.0,,,6.0,45.0,5.0,2.0,1.0,,,,,2.0,,,22.0,1.0,130.0
7,Jean (GOL),,11.16,31,5.39,6.5,0.92,1.0,3.0,,8.0,9.0,1.0,1.0,,46.0,2.0,,,1.0,,36.0,1.0,,282.0
8,Raul (MEI),,9.75,25,5.38,5.1,-0.22,107.0,2.0,2.0,,63.0,6.0,2.0,,,,,,1.0,,,39.0,1.0,151.0
9,Fábio Santos (LAT),,8.06,14,5.32,10.2,1.5,27.0,2.0,,8.0,9.0,2.0,,,,,,,,,,11.0,,93.0
10,Cano (ATA),,13.11,28,5.22,1.0,-0.22,13.0,13.0,1.0,,21.0,17.0,20.0,1.0,,,,,,,,27.0,12.0,68.0
11,Bruno Henrique (ATA),,13.97,25,5.21,10.0,0.43,31.0,8.0,5.0,,62.0,21.0,13.0,3.0,,,,,9.0,1.0,,44.0,8.0,139.0
12,Patrick (MEI),,12.3,30,5.2,1.4,-1.4,72.0,5.0,4.0,,68.0,14.0,7.0,4.0,,,,,2.0,,,41.0,2.0,159.0
13,Hyoran (MEI),,11.7,23,5.2,-0.3,-1.24,26.0,8.0,4.0,,32.0,20.0,12.0,2.0,,,,,2.0,1.0,,34.0,2.0,167.0
14,Guilherme Arana (LAT),,16.67,30,5.17,3.2,-1.6,47.0,4.0,6.0,10.0,34.0,19.0,17.0,,,,,,3.0,,,38.0,1.0,312.0
15,Nenê (MEI),,14.18,25,5.16,10.8,-0.7,30.0,8.0,3.0,,45.0,21.0,12.0,1.0,,,,,2.0,1.0,,11.0,,234.0
16,Egídio (LAT),,10.72,17,5.11,9.7,0.69,66.0,,5.0,4.0,13.0,1.0,6.0,,,,,,2.0,,,21.0,2.0,232.0
17,Yuri Alberto (ATA),,4.04,19,5.09,-1.0,-0.2,7.0,10.0,1.0,,19.0,13.0,12.0,1.0,,,,,3.0,,,40.0,4.0,44.0
18,Reinaldo (LAT),,14.82,26,4.9,0.0,0.0,49.0,5.0,5.0,6.0,33.0,9.0,10.0,,,,,,3.0,,,27.0,,330.0
19,Marcão (TEC),,10.63,8,4.81,7.97,0.26,,,,,,,,,,,,,,,,,,
20,Everton Ribeiro (MEI),,10.11,28,4.63,7.9,-0.62,49.0,6.0,4.0,,56.0,18.0,10.0,1.0,,,,,4.0,,,29.0,1.0,218.0
21,Fernando Sobral (MEI),,12.8,31,4.61,2.2,0.04,107.0,2.0,3.0,,47.0,19.0,10.0,1.0,,,,,2.0,,,46.0,6.0,187.0
22,Guga (LAT),,14.39,26,4.51,0.0,0.0,69.0,1.0,1.0,10.0,32.0,6.0,2.0,1.0,,,,,2.0,,,31.0,,213.0
23,Renato Kayzer (ATA),,7.4,27,4.48,0.3,0.19,16.0,11.0,1.0,,40.0,20.0,17.0,2.0,,,,,4.0,,,46.0,20.0,90.0
24,Jorge Sampaoli (TEC),,13.55,30,4.3,0.83,-0.91,,,,,,,,,,,,,,,,,,
